WMB
HMN
TRQ
TDOC
MHI
MCI
LCTX
LUMN
PNC
LUV
WMC
ODC
MCS
DRD
EBF
VCIF
PMM
AFI
BKI
ITW
RZA
MPA
NGVT
IBA
JT
HOV
SENS
HZN
PAC
ACCO
TRGP
CMS
PKO
PPT
HQH
MODN
GEF
CAJ
BLW
PGTI
NNN
MSB
CNO
EMAN
SMTS
EQR
ANET
BHC
MCN
ZBRA
FLY
INCY
ARW
SOLN
CAH
CAPL
SAR
FC
OMF
PZC
HIW
ERC
AFGH
MXF
GLOP
GHG
HGH
IVZ
HSBC
SBI
MHD
FBP
EXR
CHGG
CXP
MVCD
PDI
CACI
PINS
PIM
PSO
IHTA
HUYA
MHNC
NLY
KF
MTX
NMS
AFT
ADC
FFC
EVG
KRG
GRX
RJF
AM
HNP
CORR
DHR
RCI
BCH
CTY
EOT
BMEZ
GNRC
ETM
STNG
VST
CNR
GRAF
AMX
CBO
NTCO
SBUX
POST
CAG
GPK
BKN
NVR
CHN
RHI
MPV
WST
FOE
CDOR
DHF
BGB
NYCB
STG
MLSS
GMZ
SB
BBN
DAR
VMI
GOL
ST
TYL
CEO
GDV
GDL
BBDO
ITCB
WTM
BGIO
NEM
FTHY
MDLY
NSA
PSX
NQP
ALX
RST
HPF
IHD
RRD
WRE
BF.B
MGM
CPRI
KDP
MTCH
PAI
NSPR
FNF
GCV
CDE
UVE
TGB
HSIC
HLF
IFN
VNO
SLF
LNC
OUT
PRTY
DPG
RMI
FOF
GLEO
LXU
HRB
CLH
EVY
CPA
TK
ABG
RXN
WES
EBAY
DEA
VHC
ENX
CCJ
KEY
STK
OFC
CFR
EPC
HCHC
IGI
NOM
MEG
ENBA
NGD
BE
JSD
FIX
AMGN
CPT
LKQ
IP
SU
APD
KOP
SREA
APAM
SMLP
FSS
GMO
WTTR
MFV
AWP
GLQ
SHOP
LN
LL
GKOS
WALA
RGT
ALV
UTI
COG
NCR
CHMI
CBU
EAI
JCAP
GSS
NEX
AGRO
LND
NZF
IX
FBHS
BSM
COTY
CLPR
HEXO
FDX
SQNS
VER
RMT
NNY
USM
AGR
LOW
MUI
KRC
NHA
GAM
AIW
CODI
SJI
WEX
FMC
GSAT
WPX
ESTC
CCC
NBY
BBF
FPF
SITC
WMK
IQI
EMP
GJT
ENO
CTZ
UNFI
DG
ARD
CLDR
MTR
CVEO
ELU
AMG
TDJ
ERH
MBI
NBO
QRVO
MPC
WAL
KIM
LOV
NVDA
TPZ
MIE
NEA
CHCT
FAST
MSC
AA
CBB
OBLG
PMX
MIY
NAK
SBE
BLL
CAE
SUPV
NEXA
MTW
TMUS
ORA
BR
BG
JWN
BBWI
UIS
TRX
HUM
ETV
TECH
HAS
GF
ITGR
TWI
RAMP
HZO
VTA
GLV
MMC
JLS
MLI
AWF
MCV
BTN
SFL
MAN
PJH
HBI
QTWO
BLD
GJH
RMM
UFS
KOS
MSD
DISH
SITE
NVT
GTE
SVM
TGI
GCP
YUM
EQNR
EVR
MMT
BBW
CHE
BXMX
DMB
CARS
ACU
NCA
MXC
DCP
HCC
PAYX
CSL
XRAY
DEX
BZH
