,entry_vs_exit_expectancy,max_entry_expectancy,random_vs_exit_expectancy,mean_permuted_expectancy,entry_vs_50D_expectancy,entry_vs_100D_expectancy,entry_vs_200D_expectancy,random_vs_50D_expectancy,random_vs_100D_expectancy,random_vs_200D_expectancy,entry_vs_trailing_sl_expectancy
NTPC.NS,-2.260825204102461,-0.2618444053775315,-1.1655365126019175,-1.1497967811757477,-1.6208579709506477,-1.8000620118900008,-2.1286787594729377,-0.6243137777501755,-0.5568427730592291,-0.4835554276038123,-5.2901681358720545
HINDALCO.NS,0.5994791695974928,8.047601450717192,4.120985013293121,2.298191707083755,0.8067531428648609,-0.13942814841255433,5.129670513766021,0.40378356512338165,1.683702640615483,3.544489516900088,-2.139847109773118
BHARTIARTL.NS,0.6317465923691308,6.823748482754123,2.174254841563191,0.33309266289217865,2.3874001130206524,6.289978254088775,8.63566648402462,0.06899682518243822,1.7427693196663263,2.3976755185054826,28.14655294505883
