,entry_vs_exit_expectancy,max_entry_expectancy,random_vs_exit_expectancy,mean_permuted_expectancy,entry_vs_50D_expectancy,entry_vs_100D_expectancy,entry_vs_200D_expectancy,random_vs_50D_expectancy,random_vs_100D_expectancy,random_vs_200D_expectancy,entry_vs_trailing_sl_expectancy
SHREECEM.NS,13.790833004831994,28.264305576353024,120.25251656042107,19.00550764666013,5.681902625771996,20.24962612825165,35.08038224470956,20.014029249080185,44.10086549417754,106.4764925072051,65.5349666721241
TCS.NS,5.949539461061226,22.587955222163718,48.928887785894005,7.388865027631427,3.935565932355612,11.69460440028936,32.24198757998598,9.814818187263223,28.83172813961653,51.3019248281161,67.04897645817681
HDFCLIFE.NS,12.13413318777961,50.477982736881245,25.61316648820606,13.843456293942815,2.1056802885841432,6.667729791729262,21.991372447801158,7.745141767028842,13.828704632454269,27.487349968820425,17.402667021773485
